jxdl.ctgu.edu.cn              		210.42.37.201
sxdxmkszyxy.ctgu.edu.cn       		210.42.37.201
syw.ctgu.edu.cn               		210.42.35.27
eng.ctgu.edu.cn               		210.42.37.201
sso.ctgu.edu.cn               		210.42.35.10
tyxy.ctgu.edu.cn              		210.42.37.201
jg.ctgu.edu.cn                		210.42.37.201
tmyjz.ctgu.edu.cn             		210.42.37.201
idp.ctgu.edu.cn               		210.42.37.160
mail.ctgu.edu.cn              	exmail.qq.com.	61.241.49.119, 157.255.173.155
clyhg.ctgu.edu.cn             		210.42.37.201
xxgk.ctgu.edu.cn              		210.42.37.202
hqjt.ctgu.edu.cn              		210.42.37.201
sxdxjwc.ctgu.edu.cn           		210.42.37.201
www.ctgu.edu.cn               		210.42.35.27
zb.ctgu.edu.cn                		210.42.37.201
syxy.ctgu.edu.cn              		210.42.37.201
wxycm.ctgu.edu.cn             		210.42.37.201
fgxy.ctgu.edu.cn              		210.42.37.201
infcn.lib.ctgu.edu.cn         		210.42.38.36
yjs.ctgu.edu.cn               		210.42.36.98
zs.ctgu.edu.cn                		210.42.37.201
kjxy.ctgu.edu.cn              		210.42.37.201
jwc.ctgu.edu.cn               		210.42.38.26
physics.ctgu.edu.cn           		210.42.38.86
www.lib.ctgu.edu.cn           		210.42.41.119
tjbjyxy.ctgu.edu.cn           		210.42.37.201
sxdxyjsy.ctgu.edu.cn          		210.42.37.201
patho-x.ctgu.edu.cn           		210.42.37.60
webvpn.ctgu.edu.cn            		210.42.42.14
dir.ctgu.edu.cn               		210.42.37.201
yxy.ctgu.edu.cn               		210.42.37.201
science.ctgu.edu.cn           		210.42.37.201
sxdxxsc.ctgu.edu.cn           		210.42.37.201
jyzxstu.ctgu.edu.cn           		210.42.36.102
newee.ctgu.edu.cn             		210.42.37.201